Kd_Prov,Provinsi,Kondisi_Baik,Baik_%,Kondisi_Sedang,Sedang_%,Kondisi_RR,RR_%,Kondisi_RB,RB_%,Total_Panjang,Jumlah Kendaraan Bermotor - Jumlah,Produk Domestik Regional Bruto per Kapita HB (Rp),Jumlah Bencana Alam - Banjir
11,Aceh,7983.88,45.02,1642.85,9.26,3339.75,18.83,4767.05,26.88,17733.53,2606048,41424,97
12,Sumatera Utara,10665.69,34.76,6489.18,21.15,2431.77,7.92,11099.22,36.17,30685.86,7798125,68306,112
13,Sumatera Barat,8198.87,45.8,2632.42,14.7,1927.24,10.77,5144.09,28.73,17902.62,2979897,54327,72
14,Riau,6850.71,34.65,3462.31,17.51,5665.98,28.65,3794.97,19.19,19773.97,4526046,154522,79
15,Jambi,3047.53,30.35,1325.95,13.21,2194.18,21.85,3472.5,34.59,10040.16,2726756,79836,24
16,Sumatera Selatan,5800.66,39.96,2925.08,20.15,2459.92,16.95,3330.17,22.94,14515.83,4212799,71950,28
17,Bengkulu,1837.13,31.18,1109.13,18.82,457.75,7.77,2488.75,42.23,5892.76,1198609,46285,11
18,Lampung,4608.27,25.93,3817.36,21.48,1768.46,9.95,7580.11,42.65,17774.2,4115077,48194,19
19,Kepulauan Bangka Belitung,3051.38,70.21,346.63,7.98,210.66,4.85,737.41,16.97,4346.08,1215787,67885,12
21,Kepulauan Riau,1873.86,46.81,498.81,12.46,444.55,11.11,1185.86,29.62,4003.08,1480436,154179,11
32,Jawa Barat,10021.77,58.98,3892.65,22.91,1213.05,7.14,1863.64,10.97,16991.11,18053984,52651,107
33,Jawa Tengah,14463.1,53.08,7303.33,26.8,2874.23,10.55,2605.59,9.56,27246.25,20714590,45199,95
34,DI Yogyakarta,1338.41,39.81,1177.75,35.04,446.49,13.28,398.97,11.87,3361.62,3238203,48358,6
35,Jawa Timur,18635.15,54.05,9402.79,27.27,3502.89,10.16,2938.96,8.52,34479.79,24023666,71122,41
36,Banten,1727.12,51.94,654.72,19.69,521.28,15.68,422.01,12.69,3325.13,3708914,66147,28
51,Bali,4892.09,68.27,973.49,13.58,634.05,8.85,666.37,9.3,7166,4971249,62293,5
52,Nusa Tenggara Barat,3511.53,57.71,436.7,7.18,964.28,15.85,1172.56,19.27,6085.07,2183379,29926,69
53,Nusa Tenggara Timur,8198.45,42.85,1732.43,9.05,1208.3,6.32,7993.83,41.78,19133.01,1085299,23078,29
61,Kalimantan Barat,2762.26,20.96,4223.9,32.05,3347.6,25.4,2845.69,21.59,13179.45,3106381,48809,37
62,Kalimantan Tengah,3533.77,24.1,2293.45,15.64,1937.97,13.22,6897.97,47.04,14663.16,1676163,75294,40
63,Kalimantan Selatan,4352.84,38.03,2670.05,23.33,713.44,6.23,3710.15,32.41,11446.48,3063084,63779,48
64,Kalimantan Timur,2687.89,27.34,1449.78,14.75,1092.6,11.11,4600.25,46.8,9830.52,3396674,215761,33
65,Kalimantan Utara,893.99,36.28,130.36,5.29,111.81,4.54,1328.25,53.9,2464.41,192435,201749,19
71,Sulawesi Utara,3874.64,54.6,875.8,12.34,781.29,11.01,1564.14,22.04,7095.87,1124798,64131,16
72,Sulawesi Tengah,3802.83,29.5,2527.37,19.61,1946.81,15.1,4611.89,35.78,12888.9,1437649,112461,61
73,Sulawesi Selatan,11614.87,46.88,2791.68,11.27,5075.73,20.49,5294.02,21.37,24776.3,5126329,69702,52
74,Sulawesi Tenggara,3992.76,37.68,794.14,7.5,2405.94,22.71,3402.36,32.11,10595.2,1166420,64088,3
75,Gorontalo,1767.73,41.65,269.66,6.35,159.74,3.76,2047.49,48.24,4244.62,534628,42347,21
76,Sulawesi Barat,1694.7,35.77,429.42,9.06,1469.62,31.02,1144.43,24.15,4738.17,418122,39533,14
81,Maluku,2171.27,31.43,1048.24,15.17,732.75,10.61,2957.07,42.8,6909.33,385087,30456,19
82,Maluku Utara,1515.87,32.91,667.54,14.49,536.02,11.64,1886.81,40.96,4606.24,362309,63677,27
91,Papua,1095.07,21.43,503.71,9.86,634.91,12.42,2877.32,56.3,5111.01,944124,78061,4
92,Papua Barat,732.17,15.03,1069.2,21.95,465.64,9.56,2603.62,53.46,4870.63,400357,108101,1
93,Papua Selatan,374.45,10.74,570.81,16.37,809.55,23.22,1731.61,49.67,3486.42,0,58680,2
94,Papua Tengah,504.96,15.05,214.21,6.38,377.49,11.25,2258.72,67.32,3355.38,0,103504,0
95,Papua Pegunungan,253.01,8.41,529.73,17.6,354.33,11.77,1872.2,62.21,3009.27,0,16870,1
96,Papua Barat Daya,646.1,17.84,334.51,9.23,283.34,7.82,2358.28,65.11,3622.23,0,58450,5
